,Uid,Swim_beach
806,-155.95693_19.60395,True
807,-155.96560_19.60177,True
808,-155.96565_19.60193,True
809,-155.96512_19.60189,True
810,-155.96011_19.60948,True
811,-155.96011_19.60927,True
812,-155.96010_19.60891,True
813,-155.96009_19.60869,True
814,-155.96009_19.60847,True
815,-155.96008_19.60825,True
816,-155.96006_19.60759,True
817,-155.96005_19.60737,True
818,-155.96005_19.60715,True
819,-155.96004_19.60690,True
820,-155.96057_19.60691,True
821,-155.96056_19.60714,True
822,-155.96059_19.60758,True
823,-155.96059_19.60779,True
824,-155.96060_19.60801,True
825,-155.96061_19.60823,True
826,-155.96061_19.60845,True
827,-155.96062_19.60866,True
828,-155.96063_19.60888,True
829,-155.96092_19.60878,True
830,-155.96091_19.60840,True
831,-155.96090_19.60802,True
832,-155.96090_19.60770,True
833,-155.96098_19.60735,True
834,-155.96092_19.60713,True
835,-155.96092_19.60688,True
836,-155.96097_19.60929,True
837,-155.96075_19.60932,True
838,-155.96055_19.60935,True
839,-155.95968_19.60738,True
840,-155.95969_19.60761,True
841,-155.95969_19.60784,True
842,-155.95970_19.60806,True
843,-155.95970_19.60827,True
844,-155.95971_19.60849,True
845,-155.95971_19.60870,True
846,-155.95973_19.60930,True
847,-155.95974_19.60954,True
848,-155.95921_19.60953,True
849,-155.95921_19.60930,True
850,-155.95920_19.60908,True
851,-155.95919_19.60886,True
852,-155.95919_19.60863,True
853,-155.95918_19.60841,True
854,-155.95917_19.60819,True
855,-155.95917_19.60796,True
856,-155.95916_19.60774,True
857,-155.95916_19.60753,True
858,-155.95913_19.60716,True
859,-155.95915_19.60694,True
860,-155.95876_19.60722,True
861,-155.95877_19.60758,True
862,-155.95877_19.60778,True
863,-155.95877_19.60798,True
864,-155.95878_19.60817,True
865,-155.95879_19.60837,True
866,-155.95879_19.60857,True
867,-155.95880_19.60877,True
868,-155.95881_19.60896,True
869,-155.95881_19.60916,True
870,-155.95882_19.60936,True
871,-155.95883_19.60957,True
872,-155.95833_19.60951,True
873,-155.95809_19.60949,True
874,-155.95831_19.60915,True
875,-155.95828_19.60889,True
876,-155.95802_19.60886,True
877,-155.95798_19.60862,True
878,-155.95826_19.60857,True
879,-155.95826_19.60835,True
880,-155.95792_19.60834,True
881,-155.95824_19.60812,True
882,-155.95785_19.60811,True
883,-155.95823_19.60789,True
884,-155.95828_19.60761,True
885,-155.95802_19.60746,True
886,-155.95795_19.60767,True
887,-155.95771_19.60731,True
888,-155.95799_19.60704,True
889,-155.95831_19.60711,True
890,-155.95264_19.60556,True
891,-155.95342_19.60413,True
892,-155.95308_19.60429,True
893,-155.95287_19.60484,True
894,-155.95096_19.62052,True
895,-155.94742_19.62620,True
896,-155.94776_19.62773,True
897,-155.95092_19.62516,True
898,-155.94319_19.62378,True
899,-155.94783_19.62477,True
900,-155.94773_19.62577,True
901,-155.94684_19.62574,True
902,-155.94543_19.62393,True
903,-155.94779_19.62023,True
904,-155.94369_19.62071,True
905,-155.94248_19.62066,True
906,-155.95244_19.61104,True
907,-155.94951_19.62115,True
908,-155.94873_19.62380,True
909,-155.94963_19.62530,True
910,-155.95067_19.62272,True
911,-155.94913_19.62304,True
912,-155.95513_19.60650,True
913,-155.95558_19.60539,True
914,-155.95293_19.60599,True
915,-155.96466_19.59931,True
916,-155.95656_19.60270,True
917,-155.96046_19.60575,True
918,-155.95957_19.60268,True
919,-155.95254_19.60556,True
920,-155.94923_19.62591,True
921,-155.94943_19.62591,True
922,-155.94784_19.62443,True
923,-155.94804_19.62443,True
924,-155.03844_19.72517,True
925,-155.03870_19.72504,True
926,-155.03485_19.72392,True
